選挙区,届出番号,候補者届出政党の名称,候補者氏名（ふりがな）,年齢,新前元の別,職業,重複立候補の有無
北海道第1区,1,中道改革連合,道下大樹（みちしただいき）,50,前,政党役員,有
北海道第1区,2,国民民主党,臼木秀剛（うずきひでたけ）,44,前,国民民主党北海道総支部連合会代表,有
北海道第1区,3,日本共産党,森士（もりつねと）,48,新,政党役員,無
北海道第1区,4,自由民主党,加藤貴弘（かとうたかひろ）,43,新,自由民主党北海道第一選挙区支部長,有
北海道第1区,5,参政党,加納千津子（かのうちずこ）,50,新,会社員（接客販売業）,無
北海道第2区,1,日本共産党,平岡大介（ひらおかだいすけ）,37,新,日本共産党北海道2区政策委員長,無
北海道第2区,2,自由民主党,高橋祐介（たかはしゆうすけ）,45,元,自由民主党北海道第二選挙区支部長,有
北海道第2区,3,中道改革連合,松木謙公（まつきけんこう）,66,前,会社役員,有
北海道第2区,4,参政党,中田綾子（なかだあやこ）,49,新,学童支援員,有
北海道第2区,5,日本維新の会,山崎泉（やまざきいずみ）,52,新,会社役員,有
北海道第3区,1,自由民主党,高木宏壽（たかぎひろひさ）,65,元,選挙区支部長,有
北海道第3区,2,参政党,中島良樹（なかしまよしき）,47,新,会社員,有
北海道第3区,3,日本共産党,円子裕子（まるこゆう子）,62,新,政党役員,無
北海道第3区,4,中道改革連合,荒井優（あらいゆたか）,50,前,学校法人役員,有
